,택배 착지량,x,y,경도,위도
147,4851752,314760,553191,171.5905116,27.59141794
148,4858592,314690,553189,171.6395098,27.57086273
149,4853285,314643,553187,171.6011634,27.58616148
150,2424086,314462,553540,150.8009875,33.92109545
151,4868885,314499,553414,171.7128647,27.53937593
153,4849927,314529,553559,171.576606,27.59529951
154,4853371,314589,553248,171.6016044,27.58556231
156,4886211,314765,553229,171.8380191,27.49011442
157,4863401,314462,553734,171.6733386,27.55526353
158,4852696,314528,553227,171.5965435,27.58715496
159,4861339,314428,553607,171.6584019,27.56110782
161,4859869,314523,553620,171.6481441,27.56603817
162,4867275,314768,553102,171.7021872,27.54583263
163,4858823,314702,553395,171.641211,27.57026056
166,4850051,314656,553424,171.5779181,27.59575007
168,4851082,314454,553774,171.5846773,27.5914238
170,4860619,314839,553221,171.6545803,27.56585848
171,4854756,314671,553099,171.6118448,27.58201727
172,4858598,314733,553147,171.6396948,27.57112074
173,4851561,314447,553324,171.5881037,27.58997112
174,4853331,314684,553275,171.6016299,27.58628927
175,4851810,314688,553337,171.5906917,27.59078553
176,4898551,314863,553284,171.9266563,27.45442599
177,4944378,314589,553536,172.2522765,27.31772183
178,4886198,314592,553167,171.8373552,27.48904748
179,4865348,314310,553620,171.6868307,27.54856554
181,4855736,314223,553568,171.6174202,27.57626367
182,4855453,314293,553641,171.6156144,27.57754436
183,4855010,314472,553652,171.6130165,27.57999441
184,4854656,314554,553636,171.610739,27.58156083
185,4911940,314696,553505,172.0217395,27.41394707
187,4860613,314403,553667,171.6530989,27.56308189
188,4853262,314413,553642,171.6002392,27.5847537
189,5033312,314762,553280,172.8800387,27.05648422
190,4861598,314673,553222,171.6610724,27.56191637
191,2424084,314448,553431,150.8009336,33.92098407
192,4851765,314518,553292,171.5898069,27.5898271
194,4860157,314465,553692,171.650024,27.56481978
195,4863975,314325,553602,171.6770125,27.55269829
196,4862391,314392,553688,171.665847,27.5577844
197,4850333,314497,553355,171.5794248,27.59390096
198,4851158,314945,553287,171.5868444,27.59435084
199,2424127,314380,553528,150.8011933,33.92033599
200,4863172,314794,553192,171.6727877,27.55806383
201,4850809,314732,553191,171.5836282,27.59400994
202,4874318,314342,553582,171.751352,27.52239418
203,202001,314468,553487,127.0222857,36.32824843
204,4866542,314616,553475,171.6964196,27.54701467
205,4860762,314840,553159,171.655612,27.56544446
206,4850362,314738,553006,171.5804286,27.59536223
207,4855389,314772,552954,171.6167339,27.58080429
208,4856600,314740,552953,171.6253431,27.57703922
209,4863316,314693,552952,171.6734896,27.55699337
210,4857487,314646,552952,171.6314151,27.57382905
211,4853774,314867,552879,171.6054227,27.58616094
212,4873356,314622,552612,171.7453715,27.5270149
213,4854105,314575,552587,171.6068422,27.58331508
214,1212034,314980,552757,138.1751065,35.80857432
215,606218,314785,552776,131.5179787,36.2456675
216,4863920,314600,552885,171.6775244,27.55462169
217,4859096,314849,552761,171.6436597,27.57040024
218,4890561,314755,552745,171.8691367,27.47725105
219,4867218,314839,552562,171.7020119,27.54645489
220,4877877,314723,552612,171.7781427,27.51436351
221,4858908,314685,552578,171.6417664,27.5699017
222,4920902,314362,552489,172.0845422,27.38543289
223,4883987,314754,552699,171.8220486,27.49658746
224,4906181,314610,552430,171.9803446,27.43035379
225,4853399,314795,552823,171.6024856,27.5868014
226,4867747,314672,552776,171.7052612,27.54382995
227,4850471,314534,552737,171.5805408,27.59373282
228,4860288,314594,552734,171.6513917,27.56526144
229,4854056,314821,552620,171.607301,27.58503695
230,4883369,314271,552567,171.8160265,27.49531893
231,4853439,314820,552671,171.602856,27.58684419
232,4867290,314854,552654,171.7025787,27.54633921
233,2424078,314526,552643,150.8010643,33.92163946
234,4889359,314722,552658,171.8604223,27.48057725
235,4867089,314696,552820,171.7006134,27.54591852
236,4905663,314450,552453,171.9761172,27.43085898
237,4854312,314748,552580,171.6089029,27.58381623
238,2424078,314507,552434,150.801018,33.92148278
239,4890278,314656,552713,171.8667841,27.47745168
240,4851696,314742,552544,171.590049,27.59146706
241,4244564,314454,552521,167.0130225,29.34983346
242,4857848,314613,552479,171.6339035,27.57255627
243,4869357,314905,552726,171.717594,27.5405871
244,1818056,314444,552672,144.6344793,35.01576324
245,4860015,314677,552887,171.6497021,27.56659599
246,4858610,314719,552578,171.6397349,27.57099571
247,4881452,314817,552745,171.8040876,27.50444797
248,4893280,314732,552474,171.8885213,27.46910304
249,2020061,314441,552629,146.7264738,34.68239568
250,4853945,314600,552818,171.6057729,27.58394572
251,4890652,314704,552737,171.8696199,27.47665765
252,4857176,314652,552573,171.6291973,27.57478175
253,2424078,314416,552584,150.8007963,33.92073237
254,4863217,314634,552518,171.6725833,27.55690645
255,4874900,314540,552819,171.7561817,27.52194926
256,4865231,314808,552889,171.6876327,27.55209928
