,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11
0,-4.8601663967882835,-1.8231942667469223,2.5780634426083107,0.6869664911884034,0.9319141474038423,-0.7816646927645632,-0.7590631513071688,0.3547961530057897,-0.1831497785508979,-0.28617198194012466,-0.680523603702837
1,-6.387829302687643,-1.7136106738755892,2.0772100519656234,1.3264871474826412,0.4439350623463277,-0.45338718918013476,-0.6290935699931092,0.6437050226934381,-0.4461928032216238,-0.262683210743637,-0.548715325109719
2,-4.823902691969862,-2.5614261243277165,2.6493685122860193,1.089482177897321,0.5842938831145287,0.6481043506251896,-0.43037796462086464,-0.7029295088584501,0.20558267469414096,-0.04303821432749796,-0.9901734397806411
3,-2.5408355425798113,-3.2280780977621726,4.809835238698525,2.860255040841067,0.36655369533207,2.47833232713078,0.5470967227242075,-2.7853864464018785,0.10723325631190976,-0.029338916263708513,-0.6374877253412805
4,-5.593344508076805,-0.4100915310727388,0.47769277109061825,-1.0555116843965444,0.9006764190286911,-0.7329707818882697,-0.099810572734214,-1.3870983355033566,-0.7527853786072966,-0.5833571545103783,0.2510719211031877
5,-4.801291452539875,-0.9838462155735813,0.48533616763789267,-1.350551457667669,1.2021675761414325,-0.713896846246553,-0.20622214600926966,-1.4790506089750697,-0.5369010407232598,-0.6200148457578121,0.015556278780293312
6,-6.062233288372505,-2.029295470224564,1.1360920253352036,0.25283151197196047,0.44247714739251,0.6599208476092265,-0.06501965932361894,-1.1396713693546505,0.09277423642080608,-0.023498343296837296,-0.6575046801412584
7,-4.422713118677765,-2.2699449780157708,3.699396712217954,1.648751132377154,0.9205220696678496,-1.9687164088238434,-1.5454425334252118,2.2791801384890547,-0.36865706718480923,-1.0290731832105393,-0.3590277009475731
8,-5.505813926458415,-2.1073796249417516,1.7253194232993374,0.6513131068107084,0.7375906157729463,-0.9604866490574074,-0.9332202579539811,0.6518201386452123,-0.3038518682323693,-0.36180291277027443,-0.18074193661852062
9,-4.9249708306427165,-2.199991463336971,1.6348446486269752,0.6626658782840105,1.0220490157204274,-1.003370876732879,-1.0086906253946084,0.447485464970782,-0.7081952887276642,-0.5041652457718845,-0.24650660223135257
10,-5.556104681136182,-1.504211087653233,0.6180653352473259,-0.6990099551718767,0.6377008272160085,-0.38432061606997625,-0.01653909619389796,-1.116739357695095,-0.17592666302703852,-0.5517407468629876,0.1731209301020119
11,-4.670938666935657,-2.1749104780423725,0.19140191834740009,-1.4393284867770957,1.1418201748922108,-0.5228984388678363,-0.09138201201848473,-1.2520505967921463,0.10409454745562464,-0.4197480144348856,-0.06320822344676963
12,-5.633563426634302,-0.9551734764499263,0.1668622611078526,-1.2691564892024263,0.9430543515259806,-0.7058486341023058,-0.06968973146135282,-1.2370546201952684,-0.3925525951337271,-0.4535054773866844,0.19728270720468832
13,-5.498118736111812,-1.7699279686532814,0.8479573441810189,-0.7154464823760723,0.9528627976129956,-0.7836369542760955,-0.5372513545245724,-0.25210632433798225,0.03364192423351172,-0.33748057181699803,-0.30142464635784816
14,-4.384365340967647,-1.7176618938836739,0.5787187190157588,-1.149257668096894,1.1376258048559877,-0.7490314692152081,-0.39731159334640104,-1.3692218111803212,-0.2292934530872678,-0.5467544472209216,0.4920686501257674
15,-4.242670423169042,-2.8855178567945794,2.518785795255505,0.8678713681266811,0.5895229491133043,1.3174879370789572,0.053232764830502224,-1.7430115338104022,0.3781133248437309,0.057242906796093763,-1.0243605379553133
16,-2.5654537559705846,-3.2946562462734272,1.9384850848521902,0.01610493021134939,1.361409684351395,-0.5697185930893203,-0.7157592268523263,-0.9503276044899154,-0.036305545615140954,-0.01960458554043718,0.07933843707147453
17,-6.2174997759167425,-0.319077432708172,0.31185652170327877,1.499094259740521,0.1571048445370685,-1.1031369870979397,-0.5856069793611883,-0.5560429639663346,-0.7749308407803696,-0.6267499258442435,0.0315204654349644
18,-5.347416663899206,-0.8081470936749559,1.135690211162898,1.3710307112106586,0.466424325935453,-1.7458289163193785,-0.8232590850821605,0.3789772089503803,-0.2748802834056229,-0.7448576296514807,-0.4228618570022475
19,-5.925754782615737,-0.7225329842784142,0.7722313533575148,1.8076961074025997,0.33346106876167836,-1.5435958455445826,-1.009355647163921,0.3549160703913362,-0.7024316151530527,-0.6622758274229529,-0.22994664460892913
